media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes,gcx,pinned_record,string_region_bytes,layout_policy,records,translation_records
codec,,,1,봉아,아,1,봉,1,64,0,0,0,0,0,1,1,64,-1,0,,,,0,63,codec:723:26,confirmed_binary_and_builder_logic,,,,,723,no,2876,per_gcx_size_preserved; no record relocation,,
codec,,,1,가끼니다서습에왔요이져,가니다서습에왔요이,9,끼져,2,128,0,0,0,0,0,2,2,128,-2,0,,,,0,126,codec:724:11,confirmed_binary_and_builder_logic,,,,,724,no,2536,per_gcx_size_preserved; no record relocation,,
codec,,,3,군그는를만모보상쓸어여응이있지하한했,군그는를만보상어여응이있지하한,15,모쓸했,3,192,0,0,0,0,0,22,3,192,-22,0,,,,0,170,codec:726:38|codec:726:10|codec:726:12,confirmed_binary_and_builder_logic,,,,,726,no,3136,per_gcx_size_preserved; no record relocation,,
codec,,,1,가건떤어인저,가건어인저,5,떤,1,64,0,0,0,0,0,7,1,64,-7,0,,,,0,57,codec:727:10,confirmed_binary_and_builder_logic,,,,,727,no,2424,per_gcx_size_preserved; no record relocation,,
codec,,,1,군당미술신쓴요응이친,군미요응이,5,당술신쓴친,5,320,0,0,0,0,0,12,5,320,-12,0,,,,0,308,codec:728:10,confirmed_binary_and_builder_logic,,,,,728,no,2380,per_gcx_size_preserved; no record relocation,,
codec,,,6,가그냐덱래면뭐미스안왜이인쿼,가그래면뭐미스안왜이인,11,냐덱쿼,3,192,0,0,0,0,0,78,3,192,-78,2,,,,0,114,codec:729:42|codec:729:43|codec:729:33|codec:729:70|codec:729:64|codec:729:32,confirmed_binary_and_builder_logic,,,,,729,no,4952,per_gcx_size_preserved; no record relocation,,
codec,,,2,결국됐리만버소아않았은잖지진취하,됐리만버소아않았은지하,11,결국잖진취,5,320,0,0,0,0,0,19,5,320,-19,0,,,,0,301,codec:747:14|codec:747:16,confirmed_binary_and_builder_logic,,,,,747,no,3000,per_gcx_size_preserved; no record relocation,,
codec,,,2,그까니다떻렇론물술습어은입,그까니다떻렇물습어은입,11,론술,2,128,0,0,0,0,0,2,2,128,-2,0,,,,0,126,codec:750:11|codec:750:15,confirmed_binary_and_builder_logic,,,,,750,no,2780,per_gcx_size_preserved; no record relocation,,
codec,,,3,가격군궁그금네녀는니다디런배법사서어영요웠을지집촬하해,가군그금네녀는니다디런법사서어요을지하해,20,격궁배영웠집촬,7,448,0,0,0,0,0,22,7,448,-22,0,,,,0,426,codec:752:42|codec:752:20|codec:752:31,confirmed_binary_and_builder_logic,,,,,752,no,4148,per_gcx_size_preserved; no record relocation,,
codec,,,2,가것네다른야없은,가것네다야없은,7,른,1,64,0,0,0,0,0,0,1,64,0,4,,,,0,64,codec:757:11|codec:757:12,confirmed_binary_and_builder_logic,,,,,757,no,2788,per_gcx_size_preserved; no record relocation,,
codec,,,1,선외적,적,1,선외,2,128,0,0,0,0,0,8,2,128,-8,0,,,,0,120,codec:767:2895,confirmed_binary_and_builder_logic,,,,,767,no,305412,per_gcx_size_preserved; no record relocation,,
codec,,,2,겠니다드르릴말모수습씀어없었,겠니다드르말수습어없었,11,릴모씀,3,192,0,0,0,0,0,0,3,192,1,5,,,,0,193,codec:779:3335|codec:779:585,confirmed_binary_and_builder_logic,,,,,779,no,302344,per_gcx_size_preserved; no record relocation,,
codec,,,1,는니다단독럼입작잠전처,는니다입,4,단독럼작잠전처,7,448,0,0,0,0,0,11,7,448,-11,0,,,,0,437,codec:830:14,confirmed_binary_and_builder_logic,,,,,830,no,3044,per_gcx_size_preserved; no record relocation,,
codec,,,1,간과니다달리야입작전,간니다리야입,6,과달작전,4,256,0,0,0,0,0,15,4,256,-15,0,,,,0,241,codec:831:14,confirmed_binary_and_builder_logic,,,,,831,no,3164,per_gcx_size_preserved; no record relocation,,
codec,,,1,간과끝난는달라만몇시에,간난는라만시에,7,과끝달몇,4,256,0,0,0,0,0,56,4,256,-56,0,,,,0,200,codec:833:14,confirmed_binary_and_builder_logic,,,,,833,no,3584,per_gcx_size_preserved; no record relocation,,
codec,,,1,가능리불어없에이잡해힐,가리어없에이잡해,8,능불힐,3,192,0,0,0,0,0,42,3,192,-42,0,,,,0,150,codec:841:15,confirmed_binary_and_builder_logic,,,,,841,no,3204,per_gcx_size_preserved; no record relocation,,
codec,,,1,금다없은이정제지진총,금다없은이정제지,8,진총,2,128,0,0,0,0,0,20,2,128,-20,0,,,,0,108,codec:843:14,confirmed_binary_and_builder_logic,,,,,843,no,3164,per_gcx_size_preserved; no record relocation,,
codec,,,3,간그럼시은,간그시은,4,럼,1,64,0,0,0,0,0,7,1,64,-7,0,,,,0,57,codec:849:39|codec:849:33|codec:849:47,confirmed_binary_and_builder_logic,,,,,849,no,3000,per_gcx_size_preserved; no record relocation,,
