media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes
demo,103,44,2,고대두력령르면모병서않어으을이있지,고대령르면서않어으을이있지,13,두력모병,4,256,0,0,0,0,0,43,4,256,-43,0,0,0,256,0,0,demo:44:216903180|demo:44:216903576,confirmed_binary_and_builder_logic,1062,896,166,0
demo,104,44,4,가거경다더로면문비세안야요이지질필하해,가거다더로면문세안야요이지필하해,16,경비질,3,192,0,0,0,0,0,100,3,192,-100,0,0,0,192,0,0,demo:44:217646532|demo:44:217646868|demo:44:217647096|demo:44:217647416,confirmed_binary_and_builder_logic,1062,896,166,0
demo,105,44,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1062,896,166,0
demo,106,45,2,괜난두때못문아어에역을잠잤찮할,난때못문아어에을할,9,괜두역잠잤찮,6,384,0,0,0,0,0,48,6,384,-48,0,0,0,384,0,0,demo:45:220070656|demo:45:220070956,confirmed_binary_and_builder_logic,1494,896,598,0
demo,107,45,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1494,896,598,0
demo,108,45,2,고려말싶안알어정줘,고려말싶안알어정,8,줘,1,64,0,0,0,0,0,13,1,64,-13,0,0,0,64,0,0,demo:45:222834424|demo:45:222834708,confirmed_binary_and_builder_logic,1494,896,598,0
demo,109,45,2,고대두력령르면모병서않어으을이있지,고대령르면서않어으을이있지,13,두력모병,4,256,0,0,0,0,0,43,4,256,-43,0,0,0,256,0,0,demo:45:223742012|demo:45:223742248,confirmed_binary_and_builder_logic,1494,896,598,0
demo,110,45,4,가거경다더로면문비세안야요이지질필하해,가거다더로면문세안야요이지필하해,16,경비질,3,192,0,0,0,0,0,100,3,192,-100,0,0,0,192,0,0,demo:45:224559068|demo:45:224559328|demo:45:224559608|demo:45:224560036,confirmed_binary_and_builder_logic,1494,896,598,0
demo,111,45,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1494,896,598,0
demo,112,46,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1206,0,1206,0
demo,113,47,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1286,128,1158,0
demo,114,47,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1286,128,1158,0
demo,115,47,3,그봐사이인진척해,그봐사이인해,6,진척,2,128,0,0,0,0,0,43,2,128,-43,0,0,0,128,0,0,demo:47:228516636|demo:47:228516848|demo:47:228517104,confirmed_binary_and_builder_logic,1286,128,1158,0
demo,116,47,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1286,128,1158,0
demo,117,48,1,다알았,다알았,3,,0,0,0,0,0,0,0,5,0,0,-5,0,0,0,0,0,0,demo:48:229169604,confirmed_binary_and_builder_logic,1798,0,1798,0
demo,118,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,119,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,120,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,121,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,122,49,1,구그누럼지,그지,2,구누럼,3,192,0,0,0,0,0,0,3,192,3,3,1,0,192,0,1,demo:49:237326980,confirmed_binary_and_builder_logic,5,192,0,187
demo,123,49,1,군는잘하,군는잘하,4,,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,demo:49:239394732,confirmed_binary_and_builder_logic,5,192,0,187
demo,124,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,125,49,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,5,192,0,187
demo,126,50,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1302,0,1302,0
demo,127,50,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1302,0,1302,0
demo,128,51,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,454,0,454,0
demo,129,51,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,454,0,454,0
demo,130,52,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1542,0,1542,0
demo,131,52,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1542,0,1542,0
demo,132,53,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1574,0,1574,0
demo,133,53,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1574,0,1574,0
demo,134,54,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2022,0,2022,0
demo,135,54,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,2022,0,2022,0
demo,136,56,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,822,0,822,0
demo,137,57,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,838,0,838,0
demo,138,58,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,406,0,406,0
