glyph,token,physical_slot,cost_if_reused,evidence
까,830B,175,0,resident_allocation_table
필,830C,176,0,resident_allocation_table
근,830D,177,0,resident_allocation_table
깝,830E,178,0,resident_allocation_table
브,830F,179,0,resident_allocation_table
톰,8310,180,0,resident_allocation_table
사,8311,181,0,resident_allocation_table
었,8312,182,0,resident_allocation_table
둘,8313,183,0,resident_allocation_table
점,8314,184,0,resident_allocation_table
유,8315,185,0,resident_allocation_table
람,8316,186,0,resident_allocation_table
문,8317,187,0,resident_allocation_table
원,8318,188,0,resident_allocation_table
랬,8319,189,0,resident_allocation_table
없,831A,190,0,resident_allocation_table
방,831B,191,0,resident_allocation_table
