term,occurrences,unique_rows,category,existing_reference
maroon,894,12,FLORA_FAUNA,
shark,894,12,FLORA_FAUNA,
otton,894,12,FLORA_FAUNA,
dart,894,12,FLORA_FAUNA,
reticulated,894,12,FLORA_FAUNA,
sunda,894,12,FLORA_FAUNA,
vampire,894,12,FLORA_FAUNA,
vulture,894,9,FLORA_FAUNA,
size,892,9,ITEM_WEAPON,
small,892,11,FLORA_FAUNA,
agaric,892,9,FLORA_FAUNA,
cure,890,9,MEDICINE,
grows,890,8,FLORA_FAUNA,
burn,890,5,INJURY,
asia,890,10,FLORA_FAUNA,
whistling-thrush,890,10,FLORA_FAUNA,
potent,890,10,FLORA_FAUNA,
neurotoxin,890,10,FLORA_FAUNA,
you,869,52,TITLE_AWARD,
rassvet,855,4,AREA_NAME,
off,825,9,OTHER,
without,824,10,OTHER,
broken,819,8,INJURY,
southeast,812,10,FLORA_FAUNA,
hornets,811,12,FLORA_FAUNA,
markhor,805,9,FLORA_FAUNA,
distinguished,804,9,FLORA_FAUNA,
golova,803,8,FLORA_FAUNA,
mango,803,8,FLORA_FAUNA,
glowcap,803,10,FLORA_FAUNA,
vine,803,8,FLORA_FAUNA,
areas,802,9,ITEM_WEAPON,
treating,801,10,TUTORIAL_CONTROL,
designed,801,9,ITEM_WEAPON,
eat,801,8,FOOD,
eva's,801,9,FOOD,
caused,801,9,FLORA_FAUNA,
listen,801,9,OTHER,
long,798,94,TUTORIAL_CONTROL,
battery,789,15,OTHER,
saved,778,7,OTHER,
cap,777,9,FLORA_FAUNA,
lab,772,10,AREA_NAME,
mushrm,760,5,OTHER,
west,757,5,AREA_NAME,
knife,751,9,TUTORIAL_CONTROL,
zaozyorje,750,5,AREA_NAME,
dremuchij,748,4,AREA_NAME,
east,743,8,AREA_NAME,
play,721,8,MEDICINE,
on/off,720,12,TUTORIAL_CONTROL,
seen,720,6,FLORA_FAUNA,
many,720,6,OTHER,
tsuchinoko,718,11,FLORA_FAUNA,
avadavat,716,9,FLORA_FAUNA,
white-rumped,716,9,FLORA_FAUNA,
one,716,10,MEDICINE,
enemies,715,10,ITEM_WEAPON,
desert,715,10,ITEM_WEAPON,
fly,714,9,FLORA_FAUNA,
oyster,714,9,FLORA_FAUNA,
spatsa,714,9,FLORA_FAUNA,
ural,714,9,FLORA_FAUNA,
luminescent,714,9,FLORA_FAUNA,
yabloko,714,7,FLORA_FAUNA,
moloko,714,7,FLORA_FAUNA,
about,714,8,FLORA_FAUNA,
cause,712,8,MEDICINE,
excellent,712,8,ITEM_WEAPON,
backgrounds,712,8,ITEM_WEAPON,
great,712,8,FLORA_FAUNA,
member,712,8,FLORA_FAUNA,
inhabits,712,8,FLORA_FAUNA,
mysterious,712,8,FLORA_FAUNA,
looks,712,8,FLORA_FAUNA,
continue,686,7,OTHER,
weapons,683,9,AREA_NAME,
serum,660,5,MEDICINE,
ready,655,110,TUTORIAL_CONTROL,
base,651,3,AREA_NAME,
icon,647,18,TUTORIAL_CONTROL,
grenade,634,13,ITEM_WEAPON,
screen,634,7,OTHER,
weapon,632,9,ITEM_WEAPON,
switch,630,6,TUTORIAL_CONTROL,
danger,630,7,OTHER,
themselves,630,7,OTHER,
suppressor,629,7,ITEM_WEAPON,
developed,629,10,ITEM_WEAPON,
major,629,6,OTHER,
turn,629,7,OTHER,
arowana,627,9,FLORA_FAUNA,
pain,627,8,FLORA_FAUNA,
indian,627,9,FLORA_FAUNA,
gavial,627,9,FLORA_FAUNA,
damage,627,7,ITEM_WEAPON,
first,627,7,FLORA_FAUNA,
talk,626,5,OTHER,
blood,626,7,OTHER,
magazine,625,8,ITEM_WEAPON,
baikal,625,8,FLORA_FAUNA,
scaly,625,8,FLORA_FAUNA,
tooth,625,8,FLORA_FAUNA,
calorie,625,8,FLORA_FAUNA,
mate,625,8,FLORA_FAUNA,
japan,625,8,FLORA_FAUNA,
