src,dst,kind,status,error
analysis/ps2_korean/codec_static_8101_probe_4copy.dat.hangul.json,archive/old-data/ps2_korean/codec_static_8101_probe_4copy.dat.hangul.json,FILE,OK,
analysis/ps2_korean/movie_a_inspect.csv,archive/old-data/ps2_korean/movie_a_inspect.csv,FILE,OK,
analysis/ps2_korean/romforge_codec.dat.before-ps2none-donor-build-2026-08-05.bak,archive/old-data/ps2_korean/romforge_codec.dat.before-ps2none-donor-build-2026-08-05.bak,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_ps2_official_first_radio_fixed.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_ps2_official_first_radio_fixed.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_ps2_static_first_radio_4copy.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_ps2_static_first_radio_4copy.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_static_8101_probe.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_static_8101_probe.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_static_8101_probe_4copy.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_static_8101_probe_4copy.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_static_media_191_fixed.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_static_media_191_fixed.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/codec_static_media_fixed.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/codec_static_media_fixed.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/demo_pakistan.dat.hangul.json,archive/old-data/ps2_korean/analysis_bundle/movie_demo/demo_pakistan.dat.hangul.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/movie_demo/movie_a_inspect.csv,archive/old-data/ps2_korean/analysis_bundle/movie_demo/movie_a_inspect.csv,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/current/codec_selection_report.json,archive/old-data/ps2_korean/analysis_bundle/review4/current/codec_selection_report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/01-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/01-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/02-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/02-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/03-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/03-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/04-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/04-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/05-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/05-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/06-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/06-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/07-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/07-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/08-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/08-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/09-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/09-report.json,FILE,OK,
